annotation_id,canonical_observable_id,human_label,plain_definition,positive_example_description,negative_example_description,ambiguous_case_description,annotation_type,allowed_values,region_annotation_required,task_requirement,age_context_required,material_context_required,notes
ANNOT_01_LINE_WIDTH,mean_line_width,Apparent line width,How thick the drawn strokes appear overall.,"A marker drawing with clearly thick, bold strokes throughout.","A fine-tip pen drawing with thin, delicate strokes throughout.","A drawing mixing very thin outline strokes with thick filled areas -- rate the STROKES, not the fills.",ordinal,THIN|MEDIUM|THICK|CANNOT_ASSESS,no,ANY_DRAWING,no,no,Ground truth for line.mean_width (EG_A1).
ANNOT_02_LINE_WIDTH_CONSISTENCY,mean_line_width,Line width consistency,How consistent stroke thickness is across the drawing.,Every stroke is roughly the same thickness throughout.,"Some strokes are very thin, others very thick, within the same drawing.","Thickness varies only slightly, within normal hand-drawing wobble.",ordinal,UNIFORM|SOMEWHAT_VARIABLE|HIGHLY_VARIABLE|CANNOT_ASSESS,no,ANY_DRAWING,no,no,Ground truth for line.width_variability (EG_A2).
ANNOT_03_LINE_DARKNESS,line_darkness_intensity,Line darkness,How dark/faint the marks appear overall.,"Heavy, dark, saturated marks (e.g. pressed-hard pencil or thick marker).","Very light, faint marks (e.g. light pencil sketch).",A drawing with both dark outlines and faint shading -- rate the OVERALL impression.,ordinal,FAINT|MEDIUM|DARK|CANNOT_ASSESS,no,ANY_DRAWING,no,no,Ground truth for line.darkness_mean (EG_A3). Never asks about physical pencil pressure.
ANNOT_04_LINE_CONTINUITY,line_continuity,Line continuity,Whether the main marks form one continuous shape or many separate pieces.,One continuous outline drawn without lifting the pen.,"Many small, disconnected dots/dashes making up the image.",Mostly connected but with a few small gaps.,ordinal,ONE_CONTINUOUS_MARK|MOSTLY_CONNECTED|FRAGMENTED|CANNOT_ASSESS,no,ANY_DRAWING,no,no,Ground truth for line.continuity/line.fragmentation_rate (EG_A4/EG_A5).
ANNOT_05_DOMINANT_DIRECTION,dominant_orientation,Dominant stroke direction,The single most common direction strokes run in.,A drawing made almost entirely of vertical strokes.,A drawing with no clearly dominant direction (mixed evenly).,Two directions appear almost equally often.,categorical,HORIZONTAL|VERTICAL|DIAGONAL|NONE_DOMINANT|CANNOT_ASSESS,no,ANY_DRAWING,no,no,Ground truth for line.dominant_orientation_code (EG_B1).
ANNOT_06_DIRECTION_DIVERSITY,orientation_entropy,Direction diversity,How many different stroke directions are present overall.,Strokes going in many different directions across the whole drawing.,Nearly all strokes run in the same direction.,A few directions dominate but with some scattered outliers.,ordinal,LOW|MEDIUM|HIGH|CANNOT_ASSESS,no,ANY_DRAWING,no,no,Ground truth for line.orientation_entropy (EG_B2).
ANNOT_07_ORIENTATION_CONSISTENCY,local_orientation_coherence,Orientation consistency,How consistently strokes inside the assessed region follow similar directions to their immediate neighbours.,"Neighbouring strokes all run the same way, even if the drawing as a whole uses several directions elsewhere.",Strokes cross and change direction abruptly within a small area.,"A region with two clearly separate direction bands, each internally consistent.",ordinal,LOW|MEDIUM|HIGH|CANNOT_ASSESS,no,ANY_DRAWING,no,no,Ground truth for line.orientation_coherence (EG_B3) -- the exact worked example given in this phase's own instructions.
ANNOT_08_DIRECTION_CLUSTER_COUNT,direction_cluster_count,Number of distinct directions,Count of visually distinct dominant stroke directions.,A cross-hatched region with exactly two clearly distinct directions.,A region with only one direction present.,A gradually curving stroke that spans a continuous range of angles rather than discrete clusters.,count,0|1|2|3|4_OR_MORE|CANNOT_ASSESS,no,ANY_DRAWING,no,no,Ground truth for line.direction_cluster_count (EG_B4).
ANNOT_09_SCRIBBLE_APPEARANCE,stroke_density_map,Scribble appearance,"Whether the marks in an area look like a scribble (dense, multidirectional, unplanned-looking marks).",A dense tangle of criss-crossing lines with no clear single shape.,A single clean outline or a few clearly separate deliberate strokes.,"Deliberate cross-hatching used as a shading technique, not a scribble.",categorical,PRESENT|NOT_PRESENT|UNCERTAIN,no,ANY_DRAWING,no,no,Ground truth for stroke.scribble_candidate_score (EG_C1) -- the exact worked example given in this phase's own instructions.
ANNOT_10_TRUE_CROSSINGS,crossing_density,Line crossings (mark the points),Points where two separate strokes genuinely cross one another (X/T junctions) -- distinct from a single stroke's own corner or sharp bend.,A clear X where two strokes cross.,"A single stroke making a sharp 90-degree turn (a corner, not a crossing).",A T-junction where a short stroke touches but does not fully cross a longer one.,point_annotation,mark each point as CROSSING|CORNER|UNCERTAIN,no,ANY_DRAWING,no,no,"Ground truth for stroke.junction_corner_density_proxy / future true crossing detection (EG_C2/EG_C4). This is a POINT annotation task, not a whole-image ordinal rating."
