rule_id,version,source_type,arabic_wording_present,english_translation_present,citation_title,doi_or_pmid,recorded_finding_per_registry,population_sample_size_ages_protocol,target_construct,applicability_to_spontaneous_free_drawing,technical_implementation_status,detector_validation_status,professional_review_status,literature_support_status,doar_empirical_validation_status,max_permitted_interpretation,effective_version
PSY_AR_EYES_WIDE_001,v1 (rules_registry.json shipped version),psychologist_supplied_hypothesis + general_limits_citation,yes (original field present in registry),yes,"Expression of the emotions in the drawing of a man by the child from 5 to 11 years of age",PMID 17665754,"Children can intentionally use facial graphic cues to depict emotion; does not establish personality inference from isolated eye style.",UNVERIFIED - primary source not independently re-retrieved this session; population/N/ages/protocol not confirmed,facial-expression depiction (not personality trait),Applicable only if a face/eye is positively detected (Tier 2 per new spec); currently no detector exists so it never applies in practice,DETECTOR_UNAVAILABLE,not validated (no detector to validate),EXPERT_AUTHORED (professional-supplied wording, not yet re-reviewed under new tier policy),LITERATURE_SUPPORTED_LIMITED (citation is real; does not support the specific claim),not evaluated,weak_hypothesis only; confidence_ceiling=0.20; never diagnostic,v1
PSY_AR_EYES_STERN_002,v1,psychologist_supplied_hypothesis + general_limits_citation,yes,yes,"Expression of the emotions in the drawing of a man by the child from 5 to 11 years of age",PMID 17665754,"An depicted angry expression is not evidence that the child is angry or aggressive.",UNVERIFIED,facial-expression depiction,Tier 2; currently inapplicable (no detector),DETECTOR_UNAVAILABLE,not validated,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,weak_hypothesis only; confidence_ceiling=0.25,v1
PSY_AR_EYES_CLOSED_003,v1,psychologist_supplied_hypothesis + general_limits_citation,yes,yes,"Drawing conclusions: a re-examination of empirical and conceptual bases for psychological evaluation of children from their drawings; Projective in Time: A Systematic Review",DOI 10.1111/j.2044-8260.1998.tb01289.x; DOI 10.3390/children12040406,"Little evidence supported reliability/validity of broad psychological assessment from children's drawings; recent projective-technique studies medium-low quality.",UNVERIFIED,personality/self-perception inference,Tier 2; currently inapplicable (no detector),DETECTOR_UNAVAILABLE,not validated,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,weak_hypothesis only; confidence_ceiling=0.10,v1
PSY_AR_ANIMAL_TIGER_WOLF_004,v1,psychologist_supplied_hypothesis + general_limits_citation,yes,yes,"Drawing conclusions...(1998); Projective in Time (2025)",DOI 10.1111/j.2044-8260.1998.tb01289.x; DOI 10.3390/children12040406,"Little evidence for broad psychological evaluation from drawings; projective methods should be supplementary.",UNVERIFIED,emotion attribution via animal symbolism,Tier 2; currently inapplicable (no animal detector),DETECTOR_UNAVAILABLE,not validated,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,weak_hypothesis only; confidence_ceiling=0.10,v1
PSY_AR_ANIMAL_FOX_005,v1,psychologist_supplied_hypothesis + general_limits_citation,yes,yes,"Drawing conclusions...(1998)",DOI 10.1111/j.2044-8260.1998.tb01289.x,"Little evidence supported reliability/validity of broad psychological assessment from drawings.",UNVERIFIED,intent/character attribution via animal symbolism,Tier 2; currently inapplicable,DETECTOR_UNAVAILABLE,not validated,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,"weak_hypothesis only; confidence_ceiling=0.05 (lowest in registry - categorical intent attribution flagged unsafe)",v1
PSY_AR_ANIMAL_SQUIRREL_006,v1,psychologist_supplied_hypothesis + general_limits_citation,yes,yes,"Drawing conclusions...(1998)",DOI 10.1111/j.2044-8260.1998.tb01289.x,"Little evidence supported reliability/validity of broad psychological assessment from drawings.",UNVERIFIED,need for protection/attention via animal symbolism,Tier 2; currently inapplicable,DETECTOR_UNAVAILABLE,not validated,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,weak_hypothesis only; confidence_ceiling=0.10,v1
PSY_AR_ANIMAL_LION_007,v1,psychologist_supplied_hypothesis + general_limits_citation,yes,yes,"Drawing conclusions...(1998)",DOI 10.1111/j.2044-8260.1998.tb01289.x,"Little evidence supported reliability/validity of broad psychological assessment from drawings.",UNVERIFIED,superiority/self-perception via animal symbolism,Tier 2; currently inapplicable,DETECTOR_UNAVAILABLE,not validated,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,weak_hypothesis only; confidence_ceiling=0.05,v1
PSY_AR_GEOMETRY_008,v1,psychologist_supplied_hypothesis + general_limits_citation,yes,yes,"Drawing conclusions...(1998)",DOI 10.1111/j.2044-8260.1998.tb01289.x,"Little evidence supported reliability/validity of broad psychological assessment from drawings.",UNVERIFIED,goal-orientation/stubbornness via shape preference,Tier 1/2 boundary; currently inapplicable (no shape classifier beyond raw contour proxy),DETECTOR_UNAVAILABLE,not validated,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,weak_hypothesis only; confidence_ceiling=0.15,v1
PSY_AR_STARS_009,v1,psychologist_supplied_hypothesis + general_limits_citation,yes,yes,"Drawing conclusions...(1998)",DOI 10.1111/j.2044-8260.1998.tb01289.x,"Little evidence supported reliability/validity of broad psychological assessment from drawings.",UNVERIFIED,attention-seeking via symbol,Tier 2; currently inapplicable,DETECTOR_UNAVAILABLE,not validated,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,weak_hypothesis only; confidence_ceiling=0.10,v1
PSY_AR_FLOWERS_CLOUDS_SUN_010,v1,psychologist_supplied_hypothesis + general_limits_citation,yes,yes,"Drawing conclusions...(1998); Projective in Time (2025)",DOI 10.1111/j.2044-8260.1998.tb01289.x; DOI 10.3390/children12040406,"Little evidence for broad psychological evaluation; projective methods medium-low quality.",UNVERIFIED,positive outlook/imagination via combined symbols,Tier 2; currently inapplicable,DETECTOR_UNAVAILABLE,not validated,EXPERT_AUTHORED,LITERATURE_SUPPORTED_LIMITED,not evaluated,weak_hypothesis only; confidence_ceiling=0.15,v1
