image_id,transform,feature_id,original_value,transformed_value,absolute_change,percentage_change,status,should_theoretically_preserve,limitations
happy_h42,resize_0.5x,segmentation.foreground_coverage,0.256593,0.344505,0.087912,0.3426,fail,True,
happy_h42,resize_0.5x,segmentation.bounding_box_coverage,0.970549,0.98522,0.01467,0.0151,pass,True,
happy_h42,resize_0.5x,composition.centroid_x,0.492631,0.491401,0.00123,0.0025,pass,True,
happy_h42,resize_0.5x,composition.centroid_y,0.526195,0.53184,0.005645,0.0107,pass,True,
happy_h42,resize_0.5x,composition.symmetry,0.748956,0.741758,0.007198,0.0096,pass,True,
happy_h42,resize_0.5x,stroke.edge_density,0.199918,0.19978,0.000137,0.0007,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
happy_h42,resize_0.5x,stroke.intensity_proxy,0.379571,0.306137,0.073434,0.1935,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
happy_h42,resize_0.5x,stroke.fragmentation,0.101713,0.15949,0.057777,0.568,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
happy_h42,resize_0.5x,segmentation.component_count,38.0,20.0,18.0,0.4737,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
happy_h42,resize_0.5x,segmentation.largest_component_ratio,0.473608,0.626794,0.153186,0.3234,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
happy_h42,resize_0.5x,colour.dark_ratio,0.185493,0.038278,0.147215,0.7936,fail,True,
happy_h42,resize_1x,segmentation.foreground_coverage,0.256593,0.256593,0.0,0.0,pass,True,
happy_h42,resize_1x,segmentation.bounding_box_coverage,0.970549,0.970549,0.0,0.0,pass,True,
happy_h42,resize_1x,composition.centroid_x,0.492631,0.492631,0.0,0.0,pass,True,
happy_h42,resize_1x,composition.centroid_y,0.526195,0.526195,0.0,0.0,pass,True,
happy_h42,resize_1x,composition.symmetry,0.748956,0.748956,0.0,0.0,pass,True,
happy_h42,resize_1x,stroke.edge_density,0.199918,0.199918,0.0,0.0,pass,True,
happy_h42,resize_1x,stroke.intensity_proxy,0.379571,0.379571,0.0,0.0,pass,True,
happy_h42,resize_1x,stroke.fragmentation,0.101713,0.101713,0.0,0.0,pass,True,
happy_h42,resize_1x,segmentation.component_count,38.0,38.0,0.0,0.0,pass,True,
happy_h42,resize_1x,segmentation.largest_component_ratio,0.473608,0.473608,0.0,0.0,pass,True,
happy_h42,resize_1x,colour.dark_ratio,0.185493,0.185493,0.0,0.0,pass,True,
happy_h42,resize_2x,segmentation.foreground_coverage,0.256593,0.193781,0.062812,0.2448,fail,True,
happy_h42,resize_2x,segmentation.bounding_box_coverage,0.970549,1.0,0.029451,0.0303,pass,True,
happy_h42,resize_2x,composition.centroid_x,0.492631,0.494651,0.00202,0.0041,pass,True,
happy_h42,resize_2x,composition.centroid_y,0.526195,0.53563,0.009435,0.0179,pass,True,
happy_h42,resize_2x,composition.symmetry,0.748956,0.763606,0.01465,0.0196,pass,True,
happy_h42,resize_2x,stroke.edge_density,0.199918,0.199924,7e-06,0.0,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
happy_h42,resize_2x,stroke.intensity_proxy,0.379571,0.451537,0.071966,0.1896,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
happy_h42,resize_2x,stroke.fragmentation,0.101713,0.168353,0.06664,0.6552,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
happy_h42,resize_2x,segmentation.component_count,38.0,190.0,152.0,4.0,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
happy_h42,resize_2x,segmentation.largest_component_ratio,0.473608,0.353223,0.120386,0.2542,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
happy_h42,resize_2x,colour.dark_ratio,0.185493,0.190328,0.004835,0.0261,pass,True,
happy_h42,rotate_-5deg,segmentation.foreground_coverage,0.256593,0.255192,0.001401,0.0055,expected_change,False,Transform is expected to materially change this feature group; not scored as a failure.
