pilot_id,image_id,source_image_group,original_split,class,status,bbox,partial_or_occluded,uncertain_reason,instance_count,annotator,review_status,notes
p2b_0000,9c23df48180ecb10,grp_01655,train,person,present,,False,,1,single_annotator_session_2026-08-06,unreviewed,
p2b_0000,9c23df48180ecb10,grp_01655,train,face,present,,False,,1,single_annotator_session_2026-08-06,unreviewed,
p2b_0000,9c23df48180ecb10,grp_01655,train,hand,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0000,9c23df48180ecb10,grp_01655,train,animal,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0000,9c23df48180ecb10,grp_01655,train,house,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0000,9c23df48180ecb10,grp_01655,train,tree,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0000,9c23df48180ecb10,grp_01655,train,heart,uncertain,,False,small pink mark near collar could be a heart or a flower petal cluster,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0000,9c23df48180ecb10,grp_01655,train,star,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0000,9c23df48180ecb10,grp_01655,train,circle,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0000,9c23df48180ecb10,grp_01655,train,vehicle,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0001,3d6dbe40dedfa931,grp_00777,train,person,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0001,3d6dbe40dedfa931,grp_00777,train,face,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0001,3d6dbe40dedfa931,grp_00777,train,hand,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0001,3d6dbe40dedfa931,grp_00777,train,animal,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0001,3d6dbe40dedfa931,grp_00777,train,house,present,,False,,1,single_annotator_session_2026-08-06,unreviewed,
p2b_0001,3d6dbe40dedfa931,grp_00777,train,tree,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0001,3d6dbe40dedfa931,grp_00777,train,heart,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0001,3d6dbe40dedfa931,grp_00777,train,star,uncertain,,False,radiating yellow shape -- ambiguous sun vs star per ontology's own documented ambiguous case,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0001,3d6dbe40dedfa931,grp_00777,train,circle,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0001,3d6dbe40dedfa931,grp_00777,train,vehicle,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0002,1b5e4028e131e3bf,grp_00372,train,person,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0002,1b5e4028e131e3bf,grp_00372,train,face,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0002,1b5e4028e131e3bf,grp_00372,train,hand,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0002,1b5e4028e131e3bf,grp_00372,train,animal,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0002,1b5e4028e131e3bf,grp_00372,train,house,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0002,1b5e4028e131e3bf,grp_00372,train,tree,uncertain,,False,forked line shapes resemble bare branches but no clear trunk/canopy,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0002,1b5e4028e131e3bf,grp_00372,train,heart,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0002,1b5e4028e131e3bf,grp_00372,train,star,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0002,1b5e4028e131e3bf,grp_00372,train,circle,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0002,1b5e4028e131e3bf,grp_00372,train,vehicle,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0003,6c93c659a7e80a59,grp_01245,train,person,present,,False,,1,single_annotator_session_2026-08-06,unreviewed,
p2b_0003,6c93c659a7e80a59,grp_01245,train,face,present,,False,,1,single_annotator_session_2026-08-06,unreviewed,
p2b_0003,6c93c659a7e80a59,grp_01245,train,hand,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0003,6c93c659a7e80a59,grp_01245,train,animal,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0003,6c93c659a7e80a59,grp_01245,train,house,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
p2b_0003,6c93c659a7e80a59,grp_01245,train,tree,absent,,False,,0,single_annotator_session_2026-08-06,unreviewed,
