image_id,source_image_group,group_size_in_full_dataset
00f625e7087adcb1,grp_00012,1
05a3bfa88c029729,grp_00088,1
1256b5062695dd25,grp_00257,1
1b5e4028e131e3bf,grp_00372,2
1fa8ecc09f2c309e,grp_00432,4
3d6dbe40dedfa931,grp_00777,1
45d3a40719bae681,grp_00869,1
494d9518494e98ca,grp_00906,1
5945f0106f5305b6,grp_01074,5
5e5b88eef78198ea,grp_01122,1
645bec788fe40fb8,grp_01174,4
6c93c659a7e80a59,grp_01245,1
6f47036e33132a55,grp_01267,1
8dc354ccd25aab63,grp_01545,2
9c23df48180ecb10,grp_01655,1
b086b10610833277,grp_01828,1
b20e35906bc3c788,grp_01848,1
c5a23351587ccb94,grp_01962,1
d78791d7da5764c0,grp_02071,1
f080a08c5891651f,grp_02223,1
