class,pilot_id,ground_truth,predicted_status,similarity,error_type
person,p2b_0000,present,not_detected,0.242,false_negative
person,p2b_0003,present,uncertain,0.2636,false_negative
person,p2b_0004,present,uncertain,0.2611,false_negative
person,p2b_0007,present,uncertain,0.2632,false_negative
person,p2b_0008,present,not_detected,0.2343,false_negative
person,p2b_0011,present,not_detected,0.216,false_negative
person,p2b_0013,present,uncertain,0.2677,false_negative
person,p2b_0016,present,uncertain,0.2547,false_negative
person,p2b_0019,present,uncertain,0.2545,false_negative
face,p2b_0000,present,not_detected,0.2392,false_negative
face,p2b_0003,present,uncertain,0.2775,false_negative
face,p2b_0004,present,uncertain,0.2539,false_negative
face,p2b_0005,present,not_detected,0.2425,false_negative
face,p2b_0007,present,not_detected,0.2497,false_negative
face,p2b_0008,present,not_detected,0.2273,false_negative
face,p2b_0010,present,not_detected,0.2179,false_negative
face,p2b_0011,present,not_detected,0.2033,false_negative
face,p2b_0012,present,not_detected,0.2375,false_negative
face,p2b_0013,present,uncertain,0.2611,false_negative
face,p2b_0014,present,not_detected,0.2408,false_negative
face,p2b_0016,present,uncertain,0.2567,false_negative
face,p2b_0017,present,uncertain,0.2737,false_negative
face,p2b_0019,present,not_detected,0.2383,false_negative
animal,p2b_0005,present,not_detected,0.2451,false_negative
animal,p2b_0014,present,not_detected,0.238,false_negative
house,p2b_0017,present,uncertain,0.2962,false_negative
house,p2b_0019,present,uncertain,0.2829,false_negative
tree,p2b_0007,present,uncertain,0.2786,false_negative
heart,p2b_0008,present,not_detected,0.243,false_negative
heart,p2b_0011,present,not_detected,0.2133,false_negative
star,p2b_0017,present,uncertain,0.3065,false_negative
circle,p2b_0009,absent,detected,0.3187,false_positive
circle,p2b_0019,present,uncertain,0.2553,false_negative
