class,n_present,n_absent,n_uncertain,n_not_assessable,n_usable_for_metrics,sufficient_support,precision,recall,f1,tp,fp,fn,tn,ranking_separation_vs_random_0.5
person,9,6,4,1,15,True,,0.0,,0,0,9,6,0.7037037037037037
face,15,3,1,1,18,True,1.0,0.06666666666666667,0.125,1,0,14,3,0.17777777777777778
hand,0,13,6,1,13,False,,,,0,0,0,13,
animal,2,12,5,1,14,False,,0.0,,0,0,2,12,0.4166666666666667
house,3,16,0,1,19,False,1.0,0.3333333333333333,0.5,1,0,2,16,0.9375
tree,1,15,3,1,16,False,,0.0,,0,0,1,15,0.9333333333333333
heart,2,16,1,1,18,False,,0.0,,0,0,2,16,0.21875
star,1,16,2,1,17,False,,0.0,,0,0,1,16,1.0
circle,1,17,1,1,18,False,0.0,0.0,,0,1,1,16,0.5294117647058824
vehicle,0,19,0,1,19,False,,,,0,0,0,19,
