threshold,precision,recall,f1,tp,fp,fn,tn,class
0.2,0.6,1.0,0.7499999999999999,9,6,0,0,person
0.22,0.6666666666666666,0.8888888888888888,0.761904761904762,8,4,1,2,person
0.24,0.7777777777777778,0.7777777777777778,0.7777777777777778,7,2,2,4,person
0.26,0.8,0.4444444444444444,0.5714285714285714,4,1,5,5,person
0.28,0.0,0.0,,0,1,9,5,person
0.3,,0.0,,0,0,9,6,person
0.32,,0.0,,0,0,9,6,person
0.2,0.8333333333333334,1.0,0.9090909090909091,15,3,0,0,face
0.22,0.8125,0.8666666666666667,0.8387096774193549,13,3,2,0,face
0.24,0.75,0.6,0.6666666666666665,9,3,6,0,face
0.26,0.6666666666666666,0.26666666666666666,0.3809523809523809,4,2,11,1,face
0.28,0.3333333333333333,0.06666666666666667,0.1111111111111111,1,2,14,1,face
0.3,1.0,0.06666666666666667,0.125,1,0,14,3,face
0.32,,0.0,,0,0,15,3,face
0.2,0.15384615384615385,1.0,0.2666666666666667,2,11,0,1,animal
0.22,0.18181818181818182,1.0,0.3076923076923077,2,9,0,3,animal
0.24,0.1111111111111111,0.5,0.1818181818181818,1,8,1,4,animal
0.26,0.0,0.0,,0,3,2,9,animal
0.28,0.0,0.0,,0,2,2,10,animal
0.3,0.0,0.0,,0,1,2,11,animal
0.32,,0.0,,0,0,2,12,animal
0.2,0.16666666666666666,1.0,0.2857142857142857,3,15,0,1,house
0.22,0.21428571428571427,1.0,0.35294117647058826,3,11,0,5,house
0.24,0.2727272727272727,1.0,0.42857142857142855,3,8,0,8,house
0.26,0.42857142857142855,1.0,0.6,3,4,0,12,house
0.28,0.6,1.0,0.7499999999999999,3,2,0,14,house
0.3,1.0,0.3333333333333333,0.5,1,0,2,16,house
0.32,1.0,0.3333333333333333,0.5,1,0,2,16,house
0.2,0.07142857142857142,1.0,0.13333333333333333,1,13,0,2,tree
0.22,0.09090909090909091,1.0,0.16666666666666669,1,10,0,5,tree
0.24,0.1,1.0,0.18181818181818182,1,9,0,6,tree
0.26,0.25,1.0,0.4,1,3,0,12,tree
0.28,0.0,0.0,,0,1,1,14,tree
0.3,0.0,0.0,,0,1,1,14,tree
0.32,,0.0,,0,0,1,15,tree
0.2,0.11764705882352941,1.0,0.21052631578947367,2,15,0,1,heart
0.22,0.07142857142857142,0.5,0.125,1,13,1,3,heart
0.24,0.08333333333333333,0.5,0.14285714285714285,1,11,1,5,heart
0.26,0.0,0.0,,0,6,2,10,heart
0.28,0.0,0.0,,0,3,2,13,heart
0.3,0.0,0.0,,0,1,2,15,heart
0.32,,0.0,,0,0,2,16,heart
0.2,0.0625,1.0,0.11764705882352941,1,15,0,1,star
0.22,0.06666666666666667,1.0,0.125,1,14,0,2,star
0.24,0.08333333333333333,1.0,0.15384615384615385,1,11,0,5,star
0.26,0.16666666666666666,1.0,0.2857142857142857,1,5,0,11,star
0.28,0.3333333333333333,1.0,0.5,1,2,0,14,star
0.3,0.5,1.0,0.6666666666666666,1,1,0,15,star
0.32,,0.0,,0,0,1,16,star
0.2,0.058823529411764705,1.0,0.1111111111111111,1,16,0,1,circle
0.22,0.058823529411764705,1.0,0.1111111111111111,1,16,0,1,circle
0.24,0.08333333333333333,1.0,0.15384615384615385,1,11,0,6,circle
0.26,0.0,0.0,,0,6,1,11,circle
0.28,0.0,0.0,,0,4,1,13,circle
0.3,0.0,0.0,,0,1,1,16,circle
0.32,,0.0,,0,0,1,17,circle
