pilot_id,class_name,human_status,provisional_status,human_instance_count,provisional_instance_count
p2b_0000,hand,present,absent,2,0
p2b_0000,heart,absent,uncertain,0,0
p2b_0001,star,absent,uncertain,0,0
p2b_0001,tree,uncertain,absent,0,0
p2b_0002,tree,present,uncertain,2,0
p2b_0003,circle,present,absent,1,0
p2b_0004,animal,absent,uncertain,0,0
p2b_0004,hand,present,uncertain,4,0
p2b_0006,face,present,uncertain,1,0
p2b_0006,person,present,uncertain,1,0
p2b_0007,animal,present,absent,1,0
p2b_0007,circle,absent,uncertain,0,0
p2b_0007,hand,present,absent,8,0
p2b_0008,hand,present,uncertain,6,0
p2b_0009,hand,present,absent,2,0
p2b_0009,person,present,uncertain,1,0
p2b_0009,tree,absent,uncertain,0,0
p2b_0010,circle,present,absent,1,0
p2b_0010,star,present,uncertain,1,0
p2b_0011,animal,absent,uncertain,0,0
p2b_0011,hand,present,uncertain,4,0
p2b_0011,house,present,absent,1,0
p2b_0011,tree,absent,uncertain,0,0
p2b_0012,animal,absent,uncertain,0,0
p2b_0012,hand,present,absent,2,0
p2b_0013,animal,present,absent,1,0
p2b_0013,hand,present,uncertain,4,0
p2b_0015,animal,absent,uncertain,0,0
p2b_0015,face,present,absent,1,0
p2b_0015,hand,present,uncertain,2,0
p2b_0015,person,present,uncertain,1,0
p2b_0016,circle,present,absent,1,0
p2b_0016,hand,present,absent,8,0
p2b_0016,house,present,absent,1,0
p2b_0017,animal,present,uncertain,1,0
p2b_0017,person,absent,uncertain,0,0
p2b_0018,animal,absent,not_assessable,0,0
p2b_0018,circle,absent,not_assessable,0,0
p2b_0018,face,present,not_assessable,1,0
p2b_0018,hand,absent,not_assessable,0,0
p2b_0018,heart,absent,not_assessable,0,0
p2b_0018,house,absent,not_assessable,0,0
p2b_0018,person,present,not_assessable,1,0
p2b_0018,star,absent,not_assessable,0,0
p2b_0018,tree,absent,not_assessable,0,0
p2b_0018,vehicle,absent,not_assessable,0,0
p2b_0019,circle,absent,present,0,1
p2b_0019,hand,present,uncertain,8,0
p2b_0019,star,present,absent,1,0
