class_name,baseline,cohort,n_images_in_cohort,n_present,n_absent,n_uncertain,n_not_assessable,n_usable_for_metrics,sufficient_support,tp,fp,fn,tn,precision,recall,f1,specificity,ranking_separation
person,clip_zero_shot,full_80,80,59,21,0,0,80,True,2,0,57,21,1.0,0.03389830508474576,0.06557377049180328,1.0,0.5314769975786925
person,clip_zero_shot,dev_eligible_excl_test,73,52,21,0,0,73,True,2,0,50,21,1.0,0.038461538461538464,0.07407407407407407,1.0,0.5196886446886447
person,clip_zero_shot,locked_test_descriptive_only,7,7,0,0,0,7,True,0,0,7,0,,0.0,,,
face,clip_zero_shot,full_80,80,71,9,0,0,80,True,4,0,67,9,1.0,0.056338028169014086,0.10666666666666667,1.0,0.2644757433489828
face,clip_zero_shot,dev_eligible_excl_test,73,64,9,0,0,73,True,4,0,60,9,1.0,0.0625,0.11764705882352941,1.0,0.2586805555555556
face,clip_zero_shot,locked_test_descriptive_only,7,7,0,0,0,7,True,0,0,7,0,,0.0,,,
hand,clip_zero_shot,full_80,80,43,37,0,0,80,True,3,2,40,35,0.6,0.06976744186046512,0.125,0.9459459459459459,0.64487743557511
hand,clip_zero_shot,dev_eligible_excl_test,73,38,35,0,0,73,True,3,2,35,33,0.6,0.07894736842105263,0.1395348837209302,0.9428571428571428,0.6406015037593985
hand,clip_zero_shot,locked_test_descriptive_only,7,5,2,0,0,7,True,0,0,5,2,,0.0,,1.0,0.7
animal,clip_zero_shot,full_80,80,13,67,0,0,80,True,0,1,13,66,0.0,0.0,,0.9850746268656716,0.48794489092996557
animal,clip_zero_shot,dev_eligible_excl_test,73,10,63,0,0,73,True,0,1,10,62,0.0,0.0,,0.9841269841269841,0.5142857142857142
animal,clip_zero_shot,locked_test_descriptive_only,7,3,4,0,0,7,False,0,0,3,4,,0.0,,1.0,0.25
house,clip_zero_shot,full_80,80,14,66,0,0,80,True,4,0,10,66,1.0,0.2857142857142857,0.4444444444444445,1.0,0.7402597402597403
house,clip_zero_shot,dev_eligible_excl_test,73,12,61,0,0,73,True,4,0,8,61,1.0,0.3333333333333333,0.5,1.0,0.7855191256830601
house,clip_zero_shot,locked_test_descriptive_only,7,2,5,0,0,7,False,0,0,2,5,,0.0,,1.0,0.2
tree,clip_zero_shot,full_80,80,15,64,1,0,79,True,4,1,11,63,0.8,0.26666666666666666,0.4,0.984375,0.7375
tree,clip_zero_shot,dev_eligible_excl_test,73,13,59,1,0,72,True,4,1,9,58,0.8,0.3076923076923077,0.4444444444444444,0.9830508474576272,0.7900912646675359
tree,clip_zero_shot,locked_test_descriptive_only,7,2,5,0,0,7,False,0,0,2,5,,0.0,,1.0,0.1
heart,clip_zero_shot,full_80,80,5,75,0,0,80,True,1,0,4,75,1.0,0.2,0.33333333333333337,1.0,0.584
heart,clip_zero_shot,dev_eligible_excl_test,73,4,69,0,0,73,False,1,0,3,69,1.0,0.25,0.4,1.0,0.5615942028985508
heart,clip_zero_shot,locked_test_descriptive_only,7,1,6,0,0,7,False,0,0,1,6,,0.0,,1.0,0.8333333333333334
star,clip_zero_shot,full_80,80,6,74,0,0,80,True,0,2,6,72,0.0,0.0,,0.972972972972973,0.5540540540540541
star,clip_zero_shot,dev_eligible_excl_test,73,5,68,0,0,73,True,0,2,5,66,0.0,0.0,,0.9705882352941176,0.6264705882352941
star,clip_zero_shot,locked_test_descriptive_only,7,1,6,0,0,7,False,0,0,1,6,,0.0,,1.0,0.0
circle,clip_zero_shot,full_80,80,4,76,0,0,80,False,0,2,4,74,0.0,0.0,,0.9736842105263158,0.45723684210526316
circle,clip_zero_shot,dev_eligible_excl_test,73,4,69,0,0,73,False,0,2,4,67,0.0,0.0,,0.9710144927536232,0.463768115942029
circle,clip_zero_shot,locked_test_descriptive_only,7,0,7,0,0,7,False,0,0,0,7,,,,1.0,
circle,classical_cv_circularity,full_80,80,4,76,0,0,80,False,3,73,1,3,0.039473684210526314,0.75,0.075,0.039473684210526314,0.3618421052631579
circle,classical_cv_circularity,dev_eligible_excl_test,73,4,69,0,0,73,False,3,66,1,3,0.043478260869565216,0.75,0.0821917808219178,0.043478260869565216,0.35144927536231885
circle,classical_cv_circularity,locked_test_descriptive_only,7,0,7,0,0,7,False,0,7,0,0,0.0,,,0.0,
vehicle,clip_zero_shot,full_80,80,5,75,0,0,80,True,0,0,5,75,,0.0,,1.0,0.3466666666666667
vehicle,clip_zero_shot,dev_eligible_excl_test,73,3,70,0,0,73,False,0,0,3,70,,0.0,,1.0,0.3380952380952381
vehicle,clip_zero_shot,locked_test_descriptive_only,7,2,5,0,0,7,False,0,0,2,5,,0.0,,1.0,0.2
