class_name,old_n_present_20,new_n_present_80,old_precision,new_precision,old_recall,new_recall,old_ranking_separation,new_ranking_separation,old_sufficient_support,new_sufficient_support
person,9,59,,1.0,0.0,0.03389830508474576,0.7037037037037037,0.5314769975786925,True,True
face,15,71,1.0,1.0,0.06666666666666667,0.056338028169014086,0.17777777777777778,0.2644757433489828,True,True
hand,0,43,,0.6,,0.06976744186046512,,0.64487743557511,False,True
animal,2,13,,0.0,0.0,0.0,0.4166666666666667,0.48794489092996557,False,True
house,3,14,1.0,1.0,0.3333333333333333,0.2857142857142857,0.9375,0.7402597402597403,False,True
tree,1,15,,0.8,0.0,0.26666666666666666,0.9333333333333333,0.7375,False,True
heart,2,5,,1.0,0.0,0.2,0.21875,0.584,False,True
star,1,6,,0.0,0.0,0.0,1.0,0.5540540540540541,False,True
circle,1,4,0.0,0.0,0.0,0.0,0.5294117647058824,0.45723684210526316,False,False
vehicle,0,5,,,,0.0,,0.3466666666666667,False,True
