model,class_name,cohort,error_type,pilot_id
owlv2,person,full_80,false_negative,p2b_0000
owlv2,person,full_80,false_negative,p2b_0003
owlv2,person,full_80,false_negative,p2b_0004
owlv2,person,full_80,false_negative,p2b_0006
owlv2,person,full_80,false_negative,p2b_0009
owlv2,person,full_80,false_negative,p2b_0011
owlv2,person,full_80,false_negative,p2b_0013
owlv2,person,full_80,false_negative,p2b_0015
owlv2,person,full_80,false_negative,p2b_0016
owlv2,person,full_80,false_negative,p2b_0018
owlv2,person,full_80,false_negative,p2b_0019
owlv2,person,full_80,false_negative,p2b_0020
owlv2,person,full_80,false_negative,p2b_0023
owlv2,person,full_80,false_negative,p2b_0024
owlv2,person,full_80,false_negative,p2b_0028
owlv2,person,full_80,false_negative,p2b_0029
owlv2,person,full_80,false_negative,p2b_0034
owlv2,person,full_80,false_negative,p2b_0037
owlv2,person,full_80,false_negative,p2b_0040
owlv2,person,full_80,false_negative,p2b_0041
owlv2,person,full_80,false_negative,p2b_0044
owlv2,person,full_80,false_negative,p2b_0046
owlv2,person,full_80,false_negative,p2b_0049
owlv2,person,full_80,false_negative,p2b_0050
owlv2,person,full_80,false_negative,p2b_0051
owlv2,person,full_80,false_negative,p2b_0052
owlv2,person,full_80,false_negative,p2b_0055
owlv2,person,full_80,false_negative,p2b_0056
owlv2,person,full_80,false_negative,p2b_0057
owlv2,person,full_80,false_negative,p2b_0058
owlv2,person,full_80,false_negative,p2b_0060
owlv2,person,full_80,false_negative,p2b_0061
owlv2,person,full_80,false_negative,p2b_0064
owlv2,person,full_80,false_negative,p2b_0066
owlv2,person,full_80,false_negative,p2b_0067
owlv2,person,full_80,false_negative,p2b_0068
owlv2,person,full_80,false_negative,p2b_0069
owlv2,person,full_80,false_negative,p2b_0070
owlv2,person,full_80,false_negative,p2b_0072
owlv2,person,full_80,false_negative,p2b_0077
owlv2,person,full_80,false_negative,p2b_0079
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0000
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0003
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0004
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0006
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0009
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0011
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0016
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0018
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0019
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0020
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0023
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0024
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0028
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0029
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0034
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0037
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0040
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0041
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0044
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0046
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0049
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0050
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0051
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0052
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0055
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0056
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0058
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0060
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0066
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0067
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0068
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0069
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0070
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0072
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0077
owlv2,person,dev_eligible_excl_test,false_negative,p2b_0079
owlv2,person,locked_test_descriptive_only,false_negative,p2b_0013
owlv2,person,locked_test_descriptive_only,false_negative,p2b_0015
owlv2,person,locked_test_descriptive_only,false_negative,p2b_0057
owlv2,person,locked_test_descriptive_only,false_negative,p2b_0061
owlv2,person,locked_test_descriptive_only,false_negative,p2b_0064
owlv2,face,full_80,false_positive,p2b_0053
owlv2,face,full_80,false_negative,p2b_0000
owlv2,face,full_80,false_negative,p2b_0004
owlv2,face,full_80,false_negative,p2b_0006
owlv2,face,full_80,false_negative,p2b_0007
owlv2,face,full_80,false_negative,p2b_0009
owlv2,face,full_80,false_negative,p2b_0011
owlv2,face,full_80,false_negative,p2b_0013
owlv2,face,full_80,false_negative,p2b_0014
owlv2,face,full_80,false_negative,p2b_0015
owlv2,face,full_80,false_negative,p2b_0016
owlv2,face,full_80,false_negative,p2b_0017
owlv2,face,full_80,false_negative,p2b_0018
owlv2,face,full_80,false_negative,p2b_0019
owlv2,face,full_80,false_negative,p2b_0020
owlv2,face,full_80,false_negative,p2b_0023
owlv2,face,full_80,false_negative,p2b_0025
owlv2,face,full_80,false_negative,p2b_0026
owlv2,face,full_80,false_negative,p2b_0028
owlv2,face,full_80,false_negative,p2b_0029
owlv2,face,full_80,false_negative,p2b_0032
owlv2,face,full_80,false_negative,p2b_0034
owlv2,face,full_80,false_negative,p2b_0035
owlv2,face,full_80,false_negative,p2b_0036
owlv2,face,full_80,false_negative,p2b_0037
owlv2,face,full_80,false_negative,p2b_0038
owlv2,face,full_80,false_negative,p2b_0039
owlv2,face,full_80,false_negative,p2b_0040
owlv2,face,full_80,false_negative,p2b_0041
owlv2,face,full_80,false_negative,p2b_0043
owlv2,face,full_80,false_negative,p2b_0044
owlv2,face,full_80,false_negative,p2b_0046
owlv2,face,full_80,false_negative,p2b_0047
owlv2,face,full_80,false_negative,p2b_0048
owlv2,face,full_80,false_negative,p2b_0054
owlv2,face,full_80,false_negative,p2b_0057
owlv2,face,full_80,false_negative,p2b_0058
owlv2,face,full_80,false_negative,p2b_0059
owlv2,face,full_80,false_negative,p2b_0061
owlv2,face,full_80,false_negative,p2b_0062
owlv2,face,full_80,false_negative,p2b_0063
owlv2,face,full_80,false_negative,p2b_0064
owlv2,face,full_80,false_negative,p2b_0068
owlv2,face,full_80,false_negative,p2b_0073
owlv2,face,full_80,false_negative,p2b_0075
owlv2,face,dev_eligible_excl_test,false_positive,p2b_0053
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0000
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0004
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0006
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0007
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0009
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0011
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0014
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0016
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0017
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0018
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0019
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0020
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0023
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0025
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0026
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0028
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0029
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0032
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0034
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0035
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0036
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0037
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0038
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0039
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0040
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0041
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0043
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0044
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0046
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0047
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0054
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0058
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0059
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0062
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0063
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0068
owlv2,face,dev_eligible_excl_test,false_negative,p2b_0075
owlv2,face,locked_test_descriptive_only,false_negative,p2b_0013
owlv2,face,locked_test_descriptive_only,false_negative,p2b_0015
owlv2,face,locked_test_descriptive_only,false_negative,p2b_0048
owlv2,face,locked_test_descriptive_only,false_negative,p2b_0057
