model,class_name,cohort,n_images_in_cohort,n_present,n_absent,n_uncertain,n_not_assessable,n_usable_for_metrics,sufficient_support,tp,fp,fn,tn,precision,recall,f1,specificity,balanced_accuracy,ranking_separation
owlv2,person,full_80,80,59,21,0,0,80,True,18,0,41,21,1.0,0.3050847457627119,0.4675324675324675,1.0,0.652542372881356,0.652542372881356
owlv2,person,dev_eligible_excl_test,73,52,21,0,0,73,True,16,0,36,21,1.0,0.3076923076923077,0.47058823529411764,1.0,0.6538461538461539,0.6538461538461539
owlv2,person,locked_test_descriptive_only,7,7,0,0,0,7,True,2,0,5,0,1.0,0.2857142857142857,0.4444444444444445,,,
owlv2,face,full_80,80,71,9,0,0,80,True,27,1,44,8,0.9642857142857143,0.38028169014084506,0.5454545454545454,0.8888888888888888,0.6345852895148669,0.6181533646322379
owlv2,face,dev_eligible_excl_test,73,64,9,0,0,73,True,27,1,37,8,0.9642857142857143,0.421875,0.5869565217391304,0.8888888888888888,0.6553819444444444,0.6371527777777778
owlv2,face,locked_test_descriptive_only,7,7,0,0,0,7,True,0,0,7,0,,0.0,,,,
owlv2,hand,full_80,80,43,37,0,0,80,True,9,2,34,35,0.8181818181818182,0.20930232558139536,0.33333333333333337,0.9459459459459459,0.5776241357636707,0.5820238843494657
owlv2,hand,dev_eligible_excl_test,73,38,35,0,0,73,True,8,2,30,33,0.8,0.21052631578947367,0.3333333333333333,0.9428571428571428,0.5766917293233083,0.5819548872180451
owlv2,hand,locked_test_descriptive_only,7,5,2,0,0,7,True,1,0,4,2,1.0,0.2,0.33333333333333337,1.0,0.6,0.6
owlv2,animal,full_80,80,13,67,0,0,80,True,1,4,12,63,0.2,0.07692307692307693,0.1111111111111111,0.9402985074626866,0.5086107921928817,0.5063145809414467
owlv2,animal,dev_eligible_excl_test,73,10,63,0,0,73,True,0,4,10,59,0.0,0.0,,0.9365079365079365,0.46825396825396826,0.46825396825396826
owlv2,animal,locked_test_descriptive_only,7,3,4,0,0,7,False,1,0,2,4,1.0,0.3333333333333333,0.5,1.0,0.6666666666666666,0.6666666666666666
owlv2,house,full_80,80,14,66,0,0,80,True,10,0,4,66,1.0,0.7142857142857143,0.8333333333333333,1.0,0.8571428571428572,0.8571428571428571
