strategy,metric,point_estimate,wilson_ci_low,wilson_ci_high,bootstrap_ci_low,bootstrap_ci_high,n,k
R1,triggered_rate,0.8666666666666667,0.6211801716767764,0.9626387408969346,0.6666666666666666,1.0,15,13.0
R1,supported_coverage_rate,0.0,0.0,0.20388330103584862,0.0,0.0,15,0.0
R2,triggered_rate,0.06666666666666667,0.011866895493268553,0.2981652987378003,0.0,0.2,15,1.0
R2,supported_coverage_rate,0.0,0.0,0.20388330103584862,0.0,0.0,15,0.0
R3,triggered_rate,0.2,0.07047549346981558,0.4518544871516936,0.0,0.4,15,3.0
R3,supported_coverage_rate,0.0,0.0,0.20388330103584862,0.0,0.0,15,0.0
R4,triggered_rate,0.0,0.0,0.20388330103584862,0.0,0.0,15,0.0
R4,supported_coverage_rate,0.0,0.0,0.20388330103584862,0.0,0.0,15,0.0
R5,triggered_rate,0.7333333333333333,0.48049565944019434,0.8910254667430764,0.5333333333333333,0.9333333333333333,15,11.0
R5,supported_coverage_rate,0.0,0.0,0.20388330103584862,0.0,0.0,15,0.0
R1_vs_R4,triggered_rate_diff,0.8672600000000003,,,0.6666666666666666,1.0,15,
R2_vs_R4,triggered_rate_diff,0.06667333333333333,,,0.0,0.2,15,
R3_vs_R4,triggered_rate_diff,0.19902666666666663,,,0.0,0.4,15,
R5_vs_R4,triggered_rate_diff,0.73222,,,0.4666666666666667,0.9333333333333333,15,
