comparison,risk_difference,risk_difference_bootstrap_ci_low,risk_difference_bootstrap_ci_high,discordant_odds_ratio,note
R1_vs_R2,0.8,0.6,1.0,inf,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R1_vs_R3,0.6666666666666667,0.4,0.8666666666666667,inf,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R1_vs_R4,0.8666666666666667,0.6666666666666666,1.0,inf,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R1_vs_R5,0.13333333333333341,0.0,0.33333333333333337,inf,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R2_vs_R3,-0.13333333333333336,-0.33333333333333337,0.0,0.0,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R2_vs_R4,0.06666666666666667,0.0,0.2,inf,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R2_vs_R5,-0.6666666666666666,-0.8666666666666667,-0.4,0.0,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R3_vs_R4,0.2,0.0,0.4,inf,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R3_vs_R5,-0.5333333333333332,-0.8,-0.26666666666666666,0.0,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R4_vs_R5,-0.7333333333333333,-0.9333333333333333,-0.4666666666666667,0.0,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
