comparison,risk_difference,risk_difference_bootstrap_ci_low,risk_difference_bootstrap_ci_high,discordant_odds_ratio,note
R1_vs_R2,0.8,0.6,1.0,inf,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R1_vs_R3,0.6667,0.4,0.8667,inf,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R1_vs_R4,0.8667,0.6667,1.0,inf,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R1_vs_R5,0.1333,0.0,0.3333,inf,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R2_vs_R3,-0.1333,-0.3333,0.0,0.0,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R2_vs_R4,0.0667,0.0,0.2,inf,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R2_vs_R5,-0.6667,-0.8667,-0.4,0.0,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R3_vs_R4,0.2,0.0,0.4,inf,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R3_vs_R5,-0.5333,-0.8,-0.2667,0.0,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
R4_vs_R5,-0.7333,-0.9333,-0.4667,0.0,"odds ratio undefined/infinite when one discordant cell is 0 -- reported honestly, not clipped"
