case_id,n_matched_before,n_matched_after,n_disabled_removed
p2b_0068,5,1,4
p2b_0008,3,0,3
p2b_0001,3,1,2
p2b_0019,2,0,2
p2b_0023,3,1,2
p2b_0002,1,0,1
p2b_0003,1,0,1
p2b_0005,2,1,1
p2b_0007,2,1,1
p2b_0011,1,0,1
p2b_0012,2,1,1
p2b_0017,3,2,1
p2b_0018,1,0,1
p2b_0022,4,3,1
p2b_0025,2,1,1
p2b_0028,2,1,1
p2b_0029,2,1,1
p2b_0033,1,0,1
p2b_0061,3,2,1
h38,1,1,0
p2b_0004,1,1,0
p2b_0006,2,2,0
p2b_0009,2,2,0
p2b_0010,1,1,0
p2b_0014,1,1,0
p2b_0016,0,0,0
p2b_0020,1,1,0
p2b_0021,0,0,0
p2b_0024,0,0,0
p2b_0026,1,1,0
p2b_0027,1,1,0
p2b_0040,0,0,0
p2b_0047,0,0,0
p2b_0054,1,1,0
