case_id,cohort_role,page_assessable,n_eligible_associations,n_disabled_associations_excluded
h38,e6_pilot_original_15,False,1,0
p2b_0001,e6_pilot_original_15,False,1,2
p2b_0002,e6_pilot_original_15,False,0,1
p2b_0003,e6_pilot_original_15,False,0,1
p2b_0004,e6_pilot_original_15,False,1,0
p2b_0005,e6_pilot_original_15,False,1,1
p2b_0006,e6_expanded_new,False,2,0
p2b_0007,e6_expanded_new,False,1,1
p2b_0008,e6_expanded_new,False,0,3
p2b_0009,e6_expanded_new,False,2,0
p2b_0010,e6_expanded_new,False,1,0
p2b_0011,e6_expanded_new,False,0,1
p2b_0012,e6_pilot_original_15,False,1,1
p2b_0014,e6_expanded_new,False,1,0
p2b_0016,e6_expanded_new,False,0,0
p2b_0017,e6_expanded_new,False,2,1
p2b_0018,e6_expanded_new,False,0,1
p2b_0019,e6_pilot_original_15,False,0,2
p2b_0020,e6_expanded_new,False,1,0
p2b_0021,e6_expanded_new,False,0,0
p2b_0022,e6_expanded_new,True,3,1
p2b_0023,e6_expanded_new,False,1,2
p2b_0024,e6_expanded_new,False,0,0
p2b_0025,e6_expanded_new,False,1,1
p2b_0026,e6_pilot_original_15,False,1,0
p2b_0027,e6_expanded_new,True,1,0
p2b_0028,e6_expanded_new,False,1,1
p2b_0029,e6_expanded_new,False,1,1
p2b_0033,e6_pilot_original_15,False,0,1
p2b_0040,e6_pilot_original_15,False,0,0
p2b_0047,e6_pilot_original_15,False,0,0
p2b_0054,e6_pilot_original_15,False,1,0
p2b_0061,e6_pilot_original_15,True,2,1
p2b_0068,e6_pilot_original_15,False,1,4
