strategy,metric,point_estimate,wilson_ci_low,wilson_ci_high,n,k,bootstrap_ci_low,bootstrap_ci_high
R1,triggered_rate,0.5882352941176471,0.42221593878812513,0.7363403163612884,34,20.0,,
R1,supported_coverage_rate,0.5882352941176471,0.42221593878812513,0.7363403163612884,34,20.0,,
R1_broad,triggered_rate,0.8529411764705882,0.6987194350454784,0.9355055855521754,34,29.0,,
R1_broad,supported_coverage_rate,0.29411764705882354,0.1683463067042242,0.4616890979471443,34,10.0,,
R2,triggered_rate,0.0,0.0,0.10151455415332376,34,0.0,,
R2,supported_coverage_rate,0.0,0.0,0.10151455415332376,34,0.0,,
R2_broad,triggered_rate,0.08823529411764706,0.030465943674648513,0.22960486562808868,34,3.0,,
R2_broad,supported_coverage_rate,0.0,0.0,0.10151455415332376,34,0.0,,
R3,triggered_rate,0.08823529411764706,0.030465943674648513,0.22960486562808868,34,3.0,,
R3,supported_coverage_rate,0.0,0.0,0.10151455415332376,34,0.0,,
R4,triggered_rate,0.0,0.0,0.10151455415332376,34,0.0,,
R4,supported_coverage_rate,0.0,0.0,0.10151455415332376,34,0.0,,
R5,triggered_rate,0.5,0.34069325645682497,0.659306743543175,34,17.0,,
R5,supported_coverage_rate,0.5,0.34069325645682497,0.659306743543175,34,17.0,,
R1_vs_R4,triggered_rate_diff,0.5874088235294118,,,34,,0.4117647058823529,0.7647058823529411
R2_vs_R4,triggered_rate_diff,0.0,,,34,,0.0,0.0
R3_vs_R4,triggered_rate_diff,0.08915588235294118,,,34,,0.0,0.20588235294117646
R5_vs_R4,triggered_rate_diff,0.4996088235294117,,,34,,0.3235294117647059,0.6764705882352942
