comparison,risk_difference,risk_difference_bootstrap_ci_low,risk_difference_bootstrap_ci_high,discordant_odds_ratio
R1_vs_R2,0.5882352941176471,0.4117647058823529,0.7647058823529411,inf
R1_vs_R3,0.5,0.32352941176470584,0.676470588235294,inf
R1_vs_R4,0.5882352941176471,0.4117647058823529,0.7352941176470589,inf
R1_vs_R5,0.08823529411764708,0.0,0.2058823529411764,inf
R2_vs_R3,-0.08823529411764706,-0.20588235294117646,0.0,0.0
R2_vs_R4,0.0,0.0,0.0,
R2_vs_R5,-0.5,-0.6764705882352942,-0.3235294117647059,0.0
R3_vs_R4,0.08823529411764706,0.0,0.20588235294117646,inf
R3_vs_R5,-0.4117647058823529,-0.5882352941176471,-0.2647058823529411,0.0
R4_vs_R5,-0.5,-0.6764705882352942,-0.3235294117647059,0.0
