case_id,R1,R1_broad,R2,R2_broad,R3,R4,R5
h38,True,True,False,False,False,False,True
p2b_0001,True,True,False,False,False,False,True
p2b_0002,False,True,False,False,False,False,False
p2b_0003,False,True,False,False,False,False,False
p2b_0004,True,True,False,False,False,False,True
p2b_0005,True,True,False,False,False,False,False
p2b_0006,True,True,False,False,True,False,True
p2b_0007,True,True,False,True,False,False,True
p2b_0008,False,True,False,False,False,False,False
p2b_0009,True,True,False,False,True,False,True
p2b_0010,True,True,False,False,False,False,True
p2b_0011,False,True,False,False,False,False,False
p2b_0012,True,True,False,False,False,False,False
p2b_0014,True,True,False,False,False,False,True
p2b_0016,False,False,False,False,False,False,False
p2b_0017,True,True,False,False,True,False,True
p2b_0018,False,True,False,False,False,False,False
p2b_0019,False,True,False,False,False,False,False
p2b_0020,True,True,False,False,False,False,True
p2b_0021,False,False,False,False,False,False,False
p2b_0022,True,True,False,True,False,False,True
p2b_0023,True,True,False,False,False,False,True
p2b_0024,False,False,False,False,False,False,False
p2b_0025,True,True,False,False,False,False,True
p2b_0026,True,True,False,False,False,False,True
p2b_0027,False,True,False,False,False,False,False
p2b_0028,True,True,False,False,False,False,False
p2b_0029,True,True,False,False,False,False,True
p2b_0033,False,True,False,False,False,False,False
p2b_0040,False,False,False,False,False,False,False
p2b_0047,False,False,False,False,False,False,False
p2b_0054,True,True,False,False,False,False,True
p2b_0061,False,True,False,False,False,False,False
p2b_0068,True,True,False,True,False,False,True
