case_id,concern_domain,strategy,matched_rule_count,unique_family_count,assessable_family_count,support_ratio,meets_r4_family_floor
h38,anxiety_or_stress_related,R1,1,1,2,0.5,False
h38,anxiety_or_stress_related,R5,1,1,2,0.5,False
p2b_0001,anxiety_or_stress_related,R1,1,1,2,0.5,False
p2b_0001,anxiety_or_stress_related,R5,1,1,2,0.5,False
p2b_0004,anxiety_or_stress_related,R1,1,1,2,0.5,False
p2b_0004,anxiety_or_stress_related,R5,1,1,2,0.5,False
p2b_0005,aggression_or_threat_related,R1,1,1,3,0.3333333333333333,False
p2b_0012,aggression_or_threat_related,R1,1,1,3,0.3333333333333333,False
p2b_0026,anxiety_or_stress_related,R1,1,1,2,0.5,False
p2b_0026,anxiety_or_stress_related,R5,1,1,2,0.5,False
p2b_0054,anxiety_or_stress_related,R1,1,1,2,0.5,False
p2b_0054,anxiety_or_stress_related,R5,1,1,2,0.5,False
p2b_0068,anxiety_or_stress_related,R1,1,1,2,0.5,False
p2b_0068,anxiety_or_stress_related,R5,1,1,2,0.5,False
p2b_0006,developmental_or_attention_related,R1,1,1,2,0.5,False
p2b_0006,developmental_or_attention_related,R3,1,1,2,0.5,False
p2b_0006,developmental_or_attention_related,R5,1,1,2,0.5,False
p2b_0006,aggression_or_threat_related,R1,1,1,3,0.3333333333333333,False
p2b_0006,aggression_or_threat_related,R3,1,1,3,0.3333333333333333,False
p2b_0007,developmental_or_attention_related,R1,1,1,2,0.5,False
p2b_0007,developmental_or_attention_related,R5,1,1,2,0.5,False
p2b_0009,developmental_or_attention_related,R1,1,1,2,0.5,False
p2b_0009,developmental_or_attention_related,R3,1,1,2,0.5,False
p2b_0009,developmental_or_attention_related,R5,1,1,2,0.5,False
p2b_0009,aggression_or_threat_related,R1,1,1,3,0.3333333333333333,False
p2b_0009,aggression_or_threat_related,R3,1,1,3,0.3333333333333333,False
p2b_0010,developmental_or_attention_related,R1,1,1,2,0.5,False
p2b_0010,developmental_or_attention_related,R5,1,1,2,0.5,False
p2b_0014,developmental_or_attention_related,R1,1,1,2,0.5,False
p2b_0014,developmental_or_attention_related,R5,1,1,2,0.5,False
p2b_0017,developmental_or_attention_related,R1,1,1,2,0.5,False
p2b_0017,developmental_or_attention_related,R3,1,1,2,0.5,False
p2b_0017,developmental_or_attention_related,R5,1,1,2,0.5,False
p2b_0017,anxiety_or_stress_related,R1,1,1,2,0.5,False
p2b_0017,anxiety_or_stress_related,R3,1,1,2,0.5,False
p2b_0017,anxiety_or_stress_related,R5,1,1,2,0.5,False
p2b_0020,anxiety_or_stress_related,R1,1,1,2,0.5,False
p2b_0020,anxiety_or_stress_related,R5,1,1,2,0.5,False
p2b_0022,developmental_or_attention_related,R1,1,1,2,0.5,False
p2b_0022,developmental_or_attention_related,R5,1,1,2,0.5,False
p2b_0023,anxiety_or_stress_related,R1,1,1,2,0.5,False
p2b_0023,anxiety_or_stress_related,R5,1,1,2,0.5,False
p2b_0025,anxiety_or_stress_related,R1,1,1,2,0.5,False
p2b_0025,anxiety_or_stress_related,R5,1,1,2,0.5,False
p2b_0028,aggression_or_threat_related,R1,1,1,3,0.3333333333333333,False
p2b_0029,developmental_or_attention_related,R1,1,1,2,0.5,False
p2b_0029,developmental_or_attention_related,R5,1,1,2,0.5,False
